Ref,Study,Type,Cranium,Mandible,Cervical,Thoracic,Lumbar,Sacrum,Sternum,Clavicle,Rib,Scapula,Humerus,Radius,Ulna,Carpal,Metacarpal,Innominate,Femur,Patella,Tibia,Fibula,Tarsal,Metatarsal,Hand phalanx,Foot phalanx,Hand (metacarpals + manual phalanges),Foot (metatarsals + pedal phalanges)
AL_333,AL_333_Adults,Nonantrhopogenic hominin accumulation,4,6,4,2,1,0,0,2,4,0,4,1,4,4,19,0,5,0,4,4,9,7,25,23,44,30
Unscavenged_human_corpses_WA,Unscavenged_human_corpses_WA_Adults,Unscavenged human corpses,16,17,119,203,80,17,14,11,402,32,32,38,31,192,NA,34,34,29,33,33,115,NA,NA,NA,467,406
Scavenged_human_corpses_WA,Scavenged_human_corpses_WA_Adults,Scavenged human corpses,44,39,227,418,180,34,27,54,753,55,48,44,39,188,NA,69,65,34,57,51,171,NA,NA,NA,446,595
Scavenged_human_corpses_NM,Scavenged_human_corpses_NM_1,Scavenged human corpses,4,3,8,4,10,2,0,1,7,2,2,1,3,0,NA,6,7,1,4,4,2,NA,NA,NA,14,0
Scavenged_human_corpses_NM,Scavenged_human_corpses_NM_2,Scavenged human corpses,2,2,6,6,1,1,0,2,0,3,1,1,1,1,NA,2,2,2,1,1,7,NA,NA,NA,9,9
Scavenged_human_corpses_NM,Scavenged_human_corpses_NM_3,Scavenged human corpses,1,1,4,8,2,0,0,1,0,1,1,0,0,0,NA,2,1,0,1,0,0,NA,NA,NA,0,0
Scavenged_human_corpse_NC,Scavenged_human_corpse_NC,Scavenged human corpses,1,1,1,11,5,1,0,2,17,2,2,0,1,0,0,2,2,2,2,2,14,10,0,28,0,38
Mapungubwe_leopard_kills,Mapungubwe_leopard_kills,Leopard refuse,7,6,13,32,30,4,2,2,93,7,12,11,12,27,15,10,13,3,11,9,26,16,39,39,54,55
Leopard_refuse,Leopard_refuse,Leopard refuse,8,8,13,20,13,4,0,0,55,8,15,11,11,27,20,10,15,0,15,11,35,20,59,59,79,79
Misgrot_Cave,Misgrot_Cave,Natural Baboon accumulation,7,4,19,24,10,2,1,3,41,10,10,6,8,24,15,6,10,2,5,2,14,15,37.5,37.5,52.5,52.5
Sima_de_los_Huesos,Sima_de_los_Huesos_Adults,Possible hominin deliberate disposal,13,15,42,46,19,5,4,9,60,14,12,14,13,94,36,18,9,11,10,9,104,33,210,153,246,186
Dinaledi,Dinaledi,Possible hominin deliberate disposal,6,7,7,13,3,1,1,5,28,6,8,6,5,17,23,9,14,4,9,8,34,21,76,32,93,66
